"﻿""Persoonskenmerken""",Marges,Perioden,"Rookgedrag, 12 jaar of ouder/Rookstatus/Rokers (%)","Rookgedrag, 12 jaar of ouder/Rookstatus/Ex-rokers (%)","Rookgedrag, 12 jaar of ouder/Rookstatus/Nooit-rokers (%)","Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder bevolking (%)","Rookgedrag, 12 jaar of ouder/Rokers/Dagelijkse rokers onder rokers (%)","Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder bevolking (%)","Rookgedrag, 12 jaar of ouder/Rokers/Zware rokers onder rokers (%)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigarettenrokers (%)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Sigaretten per dag per roker  (aantal)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Rookjaren huidige sigarettenrokers (aantal)","Rookgedrag, 12 jaar of ouder/Sigarettenrokers/Stoppoging in afgelopen 12 maanden (%)","Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Rookjaren ex-sigarettenrokers (aantal)","Rookgedrag, 12 jaar of ouder/Ex-sigarettenrokers/Stopjaren ex-sigarettenrokers (aantal)",Meeroken onder niet-rokers/(Bijna) nooit (%),"Alcoholgebruik, 12 jaar of ouder/Drinkers/Glazen alcohol per dag per drinker (aantal)","Drugsgebruik, 12 jaar of ouder/Cannabisgebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Amfetaminegebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Ecstasygebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Cocaïnegebruik/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Gebruik overige drugs/Afgelopen jaar (%)","Drugsgebruik, 12 jaar of ouder/Drugsgebruik totaal/Afgelopen jaar (%)","Lengte en gewicht/Opgegeven gewicht, 18 jaar of ouder (aantal)"
Leeftijd: 65 tot 75 jaar,Waarde,2018,    13.9,    56.1,    30.1,    11.2,    80.8,     2.4,    17.1,    11.8,    11.1,    51.6,    29.2,    24.5,    27.3,,     1.4,     1.3,     0.0,     0.0,     0.0,     0.2,     1.5,    78.9
Leeftijd: 75 jaar of ouder,Waarde,2018,     9.7,    49.7,    40.5,     8.0,,     1.0,,     7.9,,,,    26.8,    34.7,,     1.2,     0.7,     0.0,     0.0,     0.0,     0.1,     0.8,    74.6
Leeftijd: 0 tot 12 jaar,Waarde,2018,,,,,,,,,,,,,,,,,,,,,,
Leeftijd: 12 tot 18 jaar,Waarde,2018,     5.8,     1.5,    92.7,     3.1,,     0.4,,     5.3,,,,,,,     0.7,     6.2,     0.0,     0.3,     0.0,     0.3,     6.4,
Leeftijd: 18 jaar of ouder,Waarde,2018,    22.4,    33.4,    44.2,    16.0,    71.6,     3.3,    14.8,    20.5,     9.8,    27.3,    37.9,    19.5,    19.9,,     1.2,     7.5,     1.1,     2.8,     1.6,     1.7,     9.4,    78.2
Herkomst: geboren in Nederland,Waarde,2018,    20.6,    31.8,    47.6,    14.7,    71.1,     3.2,    15.4,    18.8,    10.0,    27.3,    36.8,    19.6,    20.3,,     1.2,     7.0,     1.0,     2.8,     1.5,     1.6,     8.9,    78.8
"Herkomst: geb. in NL, ouders in NL",Waarde,2018,    20.2,    32.7,    47.1,    14.7,    73.1,     3.2,    16.1,    18.4,    10.2,    28.0,    36.7,    19.7,    20.5,,     1.2,     6.6,     1.0,     2.6,     1.3,     1.4,     8.3,    79.0
"Herkomst: geb. in NL, ouder(s) buiten NL",Waarde,2018,    24.0,    24.5,    51.5,    14.2,    59.0,     2.6,    10.9,    21.7,     8.6,    22.4,    37.4,    18.8,    17.4,,     1.2,    10.3,     1.1,     3.8,     2.7,     3.1,    13.5,    76.6
"Herkomst: geb. in NL, ouder(s) in Europa",Waarde,2018,    25.2,    30.1,    44.7,    13.3,,     3.6,,    22.1,,,,,,,     1.3,     9.4,     0.3,     2.8,     1.3,     2.4,    11.6,    76.9
"Herkomst: geb. NL, ouder(s) buit. Europa",Waarde,2018,    23.4,    21.6,    55.0,    14.6,    62.4,     2.1,     9.0,    21.5,,,,    17.4,    13.6,,     1.2,    10.8,     1.5,     4.3,     3.4,     3.5,    14.4,    76.5
Herkomst: geboren buiten Nederland,Waarde,2018,    23.4,    23.7,    52.9,    16.6,    71.2,     2.3,    10.0,    21.9,     8.2,    23.9,    46.2,    18.1,    16.5,,     0.9,    10.0,     1.1,     1.7,     1.7,     1.3,    11.0,    74.6
Herkomst: geboren in Europa (excl. NL),Waarde,2018,    23.0,    32.5,    44.5,    14.9,,     2.5,,    22.7,,,,,,,     1.0,     7.9,     1.0,     2.5,     2.3,     1.6,     9.7,    75.4
Herkomst: geboren buiten Europa,Waarde,2018,    23.5,    20.5,    56.0,    17.3,    73.4,     2.3,     9.7,    21.7,     8.1,    25.0,    43.5,    17.7,    17.6,,     0.8,    10.8,     1.1,     1.4,     1.5,     1.1,    11.4,    74.3
Positie: alleenstaande <40 jaar,Waarde,2018,    35.3,    14.6,    50.1,    22.7,    64.2,     3.6,    10.3,    32.6,     8.7,    12.7,    38.5,,,,     1.5,    27.2,     5.0,    10.8,     8.3,     6.5,    34.3,    76.2
Positie: alleenstaande 40 tot 65 jaar,Waarde,2018,    37.7,    31.7,    30.6,    31.5,    83.7,    10.7,    28.6,    34.7,    13.1,    36.5,    36.0,    21.9,    15.7,,     1.6,    10.9,     0.6,     1.3,     1.3,     1.5,    11.6,    81.1
Positie: alleenstaande >=65 jaar,Waarde,2018,    13.7,    48.2,    38.1,    11.3,,     2.8,,    12.1,,,,    26.8,    29.3,,     1.2,     2.1,     0.0,     0.0,     0.0,     0.3,     2.4,    74.8
"Positie: kind <18 jaar, eenoudergezin",Waarde,2018,     6.5,     1.2,    92.3,     3.1,,     2.2,,     4.7,,,,,,,,     4.4,     0.0,     0.0,     0.0,     0.0,     4.4,
Positie: kind >= 18 jaar eenoudergezin,Waarde,2018,    35.2,    11.2,    53.6,    22.0,,     1.5,,    32.7,,,,,,,,    24.2,     1.9,     5.1,     3.2,     5.1,    28.1,    72.4
Positie: kind <18 jaar bij paar,Waarde,2018,     5.6,     1.6,    92.8,     2.9,,     0.0,,     5.3,,,,,,,     0.6,     6.2,     0.0,     0.4,     0.0,     0.4,     6.4,
Positie: kind >=18 jaar bij paar,Waarde,2018,    24.8,     9.0,    66.2,    12.1,,     0.6,,    23.8,,,,,,,     1.3,    18.5,     1.4,     6.5,     2.3,     3.3,    21.0,    72.5
Positie: ouder in eenoudergezin,Waarde,2018,    34.2,    24.3,    41.5,    26.8,    78.5,     6.7,,    33.2,,,,,,,     0.8,     6.6,     0.3,     1.4,     1.0,     0.8,     8.0,    74.5
Positie: partner in paar met kind,Waarde,2018,    19.5,    30.9,    49.6,    14.4,    74.1,     2.8,    14.2,    17.6,    10.1,    26.3,    37.1,    14.9,    14.0,,     1.0,     3.2,     0.5,     1.5,     0.8,     0.5,     4.3,    80.2
"Positie: partner paar <40, geen kind",Waarde,2018,    25.7,    14.9,    59.4,    13.7,    53.1,     2.6,    10.0,    24.1,     7.2,    11.7,    41.9,,,,     1.1,    12.9,     4.1,     8.6,     4.7,     4.8,    20.3,    76.4
"Positie: partner paar 40-65, geen kind",Waarde,2018,    20.6,    44.9,    34.4,    16.1,    78.1,     3.7,    17.9,    18.9,    11.0,    39.5,    38.6,    20.9,    20.8,,     1.3,     3.1,     0.5,     0.7,     0.3,     0.8,     3.8,    80.3
"Positie: partner paar >=65, geen kind",Waarde,2018,    11.2,    56.7,    32.1,     8.9,    79.6,     1.4,    12.1,     9.0,     9.7,    54.5,    31.3,    24.9,    30.2,,     1.4,     0.5,     0.0,     0.0,     0.0,     0.1,     0.6,    78.5
Positie: overig lid,Waarde,2018,    27.1,    21.3,    51.6,    16.7,,     2.0,,    26.3,,,,,,,     1.4,    17.0,     3.1,     9.7,     3.6,     4.4,    20.8,    77.4
Laag onderwijsniveau,Waarde,2018,    26.4,    39.7,    33.9,    22.4,    84.7,     4.9,    18.7,    24.5,    11.6,    35.9,    31.3,    24.0,    22.8,,     1.3,     5.5,     0.7,     0.8,     1.1,     0.9,     6.3,    78.7
Middelbaar onderwijsniveau,Waarde,2018,    24.5,    36.2,    39.3,    19.0,    77.4,     4.0,    16.5,    22.4,    10.5,    29.2,    40.1,    19.5,    19.4,,     1.2,     5.6,     0.8,     2.0,     1.2,     1.3,     7.0,    80.5
Hoog onderwijsniveau,Waarde,2018,    14.1,    33.6,    52.3,     7.5,    53.1,     1.7,    12.1,    12.2,     8.2,    26.9,    44.4,    16.4,    19.5,,     1.2,     5.9,     1.3,     3.4,     1.9,     1.8,     8.7,    77.4
Vermogen: 1e 20%-groep,Waarde,2018,    29.0,    25.2,    45.8,    20.9,    71.8,     4.1,    14.1,    26.9,     9.6,    20.6,    41.5,    15.7,    11.9,,     1.2,    12.1,     2.1,     5.3,     2.8,     2.8,    15.3,    79.8
Vermogen: 2e 20%-groep,Waarde,2018,    31.4,    26.0,    42.7,    24.5,    78.0,     6.0,    19.2,    29.5,    10.8,    28.7,    36.9,    22.1,    15.3,,     1.2,    10.9,     1.3,     2.7,     1.3,     1.6,    12.5,    78.0
Vermogen: 3e 20%-groep,Waarde,2018,    19.4,    31.7,    48.9,    13.7,    70.8,     2.6,    13.4,    18.4,     9.3,    27.9,    35.7,    20.4,    18.8,,     1.1,     5.8,     0.7,     2.7,     1.2,     1.5,     7.6,    78.7
Vermogen: 4e 20%-groep,Waarde,2018,    15.2,    34.8,    50.0,    10.6,    69.9,     2.2,    14.4,    13.8,     9.6,    31.1,    37.2,    19.8,    22.5,,     1.2,     5.2,     0.6,     1.6,     1.4,     1.1,     6.7,    78.3
Vermogen: 5e 20%-groep,Waarde,2018,    13.6,    34.7,    51.6,     8.2,    60.0,     1.3,     9.8,    11.2,     8.7,    29.9,    39.3,    19.6,    25.8,,     1.2,     4.0,     0.4,     1.3,     0.7,     0.7,     4.9,    76.6
Totaal personen,Waarde,2019,    20.4,    30.1,    49.6,    14.8,    72.8,     2.8,    13.7,    18.6,     9.9,    26.1,    34.2,    19.9,    20.0,77.3,     1.2,     7.1,     1.6,     3.2,     1.7,     1.5,     9.1,    77.9
Geslacht: Mannen,Waarde,2019,    23.7,    31.3,    45.0,    17.0,    71.9,     3.4,    14.3,    20.7,    10.3,    25.1,    32.0,    21.1,    19.8,75.1,     1.5,     9.3,     2.1,     4.2,     2.6,     2.2,    11.5,    84.6
Geslacht: Vrouwen,Waarde,2019,    17.1,    28.8,    54.1,    12.7,    74.0,     2.2,    12.9,    16.6,     9.5,    27.2,    36.9,    18.6,    20.2,79.4,     0.8,     4.8,     1.1,     2.1,     0.9,     0.9,     6.7,    71.5
Leeftijd: 0 tot 4 jaar,Waarde,2019,,,,,,,,,,,,,,94.8,,,,,,,,
Leeftijd: 4 tot 12 jaar,Waarde,2019,,,,,,,,,,,,,,94.2,,,,,,,,
Leeftijd: 12 tot 16 jaar,Waarde,2019,     1.7,     1.4,    96.9,     0.8,,     0.4,,     1.7,,,,,,73.5,,     2.6,     0.0,     0.0,     0.0,     0.3,     2.9,
Leeftijd: 16 tot 20 jaar,Waarde,2019,    15.9,     3.1,    81.0,     8.2,,     0.2,,    14.1,,,,,,53.1,     1.1,    15.8,     1.3,     3.3,     0.9,     2.6,    16.9,    69.1
Leeftijd: 20 tot 30 jaar,Waarde,2019,    30.6,    14.5,    54.9,    17.7,    57.8,     2.5,     8.2,    28.3,     7.8,     8.2,    34.9,     6.3,     3.0,54.2,     1.4,    18.8,     6.0,    12.5,     7.0,     5.4,    25.5,    74.6
Leeftijd: 30 tot 40 jaar,Waarde,2019,    26.0,    22.1,    51.9,    18.3,    70.4,     2.8,    10.9,    24.9,     8.7,    17.8,    40.4,    10.5,     8.0,71.3,     1.0,     9.7,     2.6,     4.9,     2.9,     2.0,    12.9,    78.0
Leeftijd: 40 tot 50 jaar,Waarde,2019,    23.4,    27.6,    49.1,    17.8,    76.3,     3.8,    16.3,    21.9,    10.6,    27.3,    34.2,    15.7,    12.2,77.7,     1.0,     6.3,     1.1,     2.1,     1.3,     1.1,     8.3,    80.3
Leeftijd: 50 tot 55 jaar,Waarde,2019,    23.9,    28.4,    47.7,    19.6,    82.0,     4.6,    19.1,    21.8,    12.5,    35.4,    30.2,    18.3,    17.0,75.9,     1.2,     4.8,     0.3,     1.2,     0.3,     0.5,     5.4,    81.2
Leeftijd: 55 tot 65 jaar,Waarde,2019,    21.0,    41.1,    38.0,    17.2,    82.3,     4.1,    19.6,    18.8,    12.2,    41.9,    30.8,    21.8,    21.6,78.0,     1.3,     3.1,     0.3,     0.3,     0.2,     0.2,     3.6,    80.2
Leeftijd: 65 tot 75 jaar,Waarde,2019,    14.1,    55.6,    30.2,    12.2,    86.1,     2.6,    18.5,    12.1,    12.1,    51.7,    31.3,    24.9,    27.3,85.5,     1.4,     0.6,     0.1,     0.1,     0.0,     0.2,     1.0,    78.0
Leeftijd: 75 jaar of ouder,Waarde,2019,     7.7,    52.7,    39.6,     6.9,,     0.7,,     5.8,,,,    28.7,    33.3,88.7,     1.0,     0.2,     0.0,     0.0,     0.0,     0.4,     0.4,    74.7
Leeftijd: 0 tot 12 jaar,Waarde,2019,,,,,,,,,,,,,,94.4,,,,,,,,
Leeftijd: 12 tot 18 jaar,Waarde,2019,     5.6,     1.9,    92.5,     2.8,,     0.2,,     4.9,,,,,,66.8,     0.6,     5.8,     0.2,     0.6,     0.2,     1.0,     6.6,
Leeftijd: 18 jaar of ouder,Waarde,2019,    21.7,    32.6,    45.7,    15.9,    73.3,     3.0,    13.9,    19.9,    10.0,    26.6,    34.2,    20.0,    20.1,75.0,     1.2,     7.2,     1.7,     3.4,     1.9,     1.6,     9.3,    77.9
Herkomst: geboren in Nederland,Waarde,2019,    19.8,    31.5,    48.7,    14.2,    71.7,     2.6,    13.2,    17.9,    10.0,    26.4,    33.2,    20.0,    20.5,77.7,     1.2,     7.0,     1.7,     3.4,     1.9,     1.6,     9.1,    78.3
"Herkomst: geb. in NL, ouders in NL",Waarde,2019,    19.4,    32.7,    47.9,    14.0,    72.4,     2.5,    13.1,    17.6,    10.0,    26.9,    33.4,    20.1,    20.6,77.9,     1.2,     6.4,     1.7,     3.2,     1.8,     1.5,     8.5,    78.6
"Herkomst: geb. in NL, ouder(s) buiten NL",Waarde,2019,    22.8,    22.8,    54.4,    15.4,    67.7,     3.1,    13.5,    20.3,     9.6,    23.3,    31.8,    18.9,    18.9,76.5,     1.2,    11.0,     1.7,     4.8,     2.3,     2.4,    13.2,    76.5
"Herkomst: geb. in NL, ouder(s) in Europa",Waarde,2019,    24.4,    28.8,    46.8,    17.0,,     4.3,,    22.5,,,,,,80.5,     1.2,     9.8,     2.1,     4.6,     2.1,     2.4,    11.6,    77.9
"Herkomst: geb. NL, ouder(s) buit. Europa",Waarde,2019,    21.9,    19.6,    58.5,    14.6,    66.5,     2.4,    11.0,    19.1,,,,    15.1,    15.9,74.6,     1.2,    11.7,     1.6,     4.9,     2.5,     2.4,    14.1,    75.7
Herkomst: geboren buiten Nederland,Waarde,2019,    24.2,    20.8,    55.1,    18.9,    78.3,     3.9,    16.2,    23.0,     9.8,    24.3,    39.5,    18.9,    15.3,74.2,     1.0,     7.7,     1.0,     1.7,     1.0,     1.0,     9.1,    75.6
Herkomst: geboren in Europa (excl. NL),Waarde,2019,    25.5,    28.3,    46.2,    18.2,,     5.3,,    25.5,,,,,,74.5,     1.0,     6.8,     0.8,     1.5,     0.7,     1.8,     8.7,    76.2
Herkomst: geboren buiten Europa,Waarde,2019,    23.7,    18.0,    58.3,    19.2,    80.9,     3.4,    14.4,    22.1,     9.8,    24.2,    42.2,    20.1,    15.2,74.1,     1.0,     8.1,     1.1,     1.8,     1.1,     0.7,     9.3,    75.4
Positie: alleenstaande <40 jaar,Waarde,2019,    37.3,    13.5,    49.2,    22.3,    59.7,     3.4,     9.1,    34.2,     8.0,    11.3,    31.7,,,56.6,     1.5,    24.7,     9.9,    14.8,     9.9,     7.3,    31.6,    76.7
Positie: alleenstaande 40 tot 65 jaar,Waarde,2019,    34.3,    26.9,    38.8,    29.2,    85.1,     9.9,    29.0,    32.2,    14.1,    36.3,    32.1,    21.7,    15.7,71.2,     1.5,     9.6,     2.0,     1.8,     1.6,     0.7,    11.4,    81.0
Positie: alleenstaande >=65 jaar,Waarde,2019,    13.8,    50.4,    35.9,    12.2,,     2.9,,    11.9,,,,    27.2,    30.1,88.0,     1.2,     1.0,     0.0,     0.0,     0.0,     0.6,     1.4,    74.9
"Positie: kind <18 jaar, eenoudergezin",Waarde,2019,     5.4,     2.3,    92.3,     3.0,,     0.0,,     4.1,,,,,,76.0,,    13.1,     0.0,     0.0,     0.0,     1.2,    13.1,
Positie: kind >= 18 jaar eenoudergezin,Waarde,2019,    29.7,     3.4,    67.0,    18.8,,     2.2,,    26.5,,,,,,51.1,     1.2,    22.4,     3.7,    10.1,     6.5,     6.9,    27.1,    74.9
Positie: kind <18 jaar bij paar,Waarde,2019,     4.9,     2.0,    93.2,     2.3,,     0.3,,     4.6,,,,,,86.4,     0.6,     4.0,     0.0,     0.6,     0.2,     0.6,     4.4,
Positie: kind >=18 jaar bij paar,Waarde,2019,    24.6,     8.4,    67.1,    16.0,,     2.5,,    23.0,,,,,,53.8,     1.4,    16.3,     2.8,     8.2,     3.4,     2.6,    19.8,    73.3
Positie: ouder in eenoudergezin,Waarde,2019,    34.3,    25.0,    40.7,    27.3,,     4.3,,    33.1,,,,,,74.7,     1.1,     8.1,     0.0,     1.5,     1.2,     2.2,    10.8,    75.9
Positie: partner in paar met kind,Waarde,2019,    18.7,    30.6,    50.7,    13.4,    71.5,     1.9,    10.4,    17.2,     9.3,    25.6,    39.4,    16.0,    13.9,78.1,     1.0,     3.7,     0.6,     1.6,     0.7,     0.7,     5.1,    79.5
"Positie: partner paar <40, geen kind",Waarde,2019,    23.8,    20.5,    55.6,    13.8,    57.7,     3.0,    12.8,    22.5,,,,,,62.4,     1.3,    12.2,     3.4,     8.8,     4.2,     2.6,    18.8,    75.7
"Positie: partner paar 40-65, geen kind",Waarde,2019,    20.6,    41.7,    37.8,    17.2,    83.5,     3.3,    16.2,    18.8,    11.5,    37.7,    25.4,    20.2,    21.2,75.5,     1.2,     2.8,     0.2,     0.9,     0.4,     0.3,     3.4,    80.3
"Positie: partner paar >=65, geen kind",Waarde,2019,    10.3,    56.7,    33.0,     8.7,    85.1,     1.2,    11.7,     8.2,    10.8,    54.3,    31.1,    25.7,    29.8,86.3,     1.3,     0.2,     0.1,     0.1,     0.0,     0.1,     0.4,    77.8
Positie: overig lid,Waarde,2019,    28.3,    16.3,    55.4,    16.7,,     1.8,,    25.6,,,,,,68.8,     1.4,    18.9,     5.6,     9.5,     5.2,     5.4,    22.8,    76.1
Laag onderwijsniveau,Waarde,2019,    25.9,    39.1,    34.9,    23.4,    90.2,     5.1,    19.7,    24.6,    12.1,    35.6,    28.7,    25.3,    23.0,79.6,     1.3,     4.2,     0.7,     0.8,     0.6,     0.6,     5.3,    78.6
Middelbaar onderwijsniveau,Waarde,2019,    24.0,    35.6,    40.5,    18.8,    78.5,     3.6,    15.2,    22.1,    10.8,    28.3,    35.1,    19.5,    20.3,74.4,     1.2,     5.8,     1.2,     2.2,     1.8,     1.2,     7.3,    79.9
Hoog onderwijsniveau,Waarde,2019,    13.8,    32.7,    53.5,     7.3,    53.2,     1.4,     9.9,    11.7,     7.4,    24.5,    38.4,    17.3,    18.8,79.6,     1.1,     6.0,     1.7,     3.8,     1.8,     1.4,     8.8,    77.4
Vermogen: 1e 20%-groep,Waarde,2019,    33.2,    20.3,    46.6,    24.4,    73.4,     4.9,    14.7,    30.2,    10.6,    22.7,    36.3,    17.2,    10.8,70.6,     1.3,    13.6,     3.9,     7.0,     4.0,     3.1,    17.9,    80.3
Vermogen: 2e 20%-groep,Waarde,2019,    28.3,    26.5,    45.3,    23.2,    82.1,     4.6,    16.3,    26.3,    11.1,    28.2,    34.0,    21.4,    16.7,74.1,     1.3,     9.1,     1.9,     2.8,     1.6,     1.7,    10.7,    78.0
Vermogen: 3e 20%-groep,Waarde,2019,    18.2,    32.1,    49.7,    13.0,    71.6,     2.2,    12.3,    17.2,     9.1,    25.1,    34.9,    19.8,    18.0,78.3,     1.2,     5.2,     1.1,     2.9,     1.4,     1.4,     7.5,    78.2
Vermogen: 4e 20%-groep,Waarde,2019,    14.5,    35.2,    50.2,    10.0,    68.5,     1.9,    13.0,    13.2,     9.1,    30.8,    29.0,    20.2,    22.0,80.4,     1.1,     4.6,     0.8,     2.0,     0.9,     0.7,     5.7,    77.8
Vermogen: 5e 20%-groep,Waarde,2019,    11.7,    34.5,    53.8,     7.3,    62.2,     1.1,     9.0,    10.0,     8.4,    26.4,    34.7,    20.2,    25.9,80.8,     1.2,     4.1,     0.6,     1.8,     1.2,     1.0,     5.4,    76.3
Totaal personen,Waarde,2020,    18.9,    31.1,    50.0,    13.9,    73.3,     3.0,    15.8,    17.0,    10.1,    26.4,    36.9,    19.5,    20.1,    80.6,     1.1,     7.7,     1.3,     3.0,     1.6,     1.7,     9.9,    77.8
Geslacht: Mannen,Waarde,2020,    21.2,    32.4,    46.4,    15.1,    71.1,     3.5,    16.5,    18.3,    10.4,    26.0,    37.0,    20.3,    20.2,    79.0,     1.4,    10.1,     1.4,     3.4,     1.9,     1.6,    12.1,    84.3
Geslacht: Vrouwen,Waarde,2020,    16.6,    29.8,    53.6,    12.6,    75.9,     2.5,    15.0,    15.8,     9.8,    26.7,    36.7,    18.7,    20.0,    82.2,     0.8,     5.5,     1.2,     2.6,     1.2,     1.7,     7.9,    71.5
Leeftijd: 0 tot 4 jaar,Waarde,2020,,,,,,,,,,,,,,    95.7,,,,,,,,
Leeftijd: 4 tot 12 jaar,Waarde,2020,,,,,,,,,,,,,,    91.8,,,,,,,,
Leeftijd: 12 tot 16 jaar,Waarde,2020,     2.2,     0.8,    97.0,     0.5,,     0.3,,     1.7,,,,,,    80.0,,     3.7,     0.0,     0.2,     0.0,     0.0,     3.7,
Leeftijd: 16 tot 20 jaar,Waarde,2020,    14.6,     3.4,    82.0,     7.7,,     1.2,,    13.3,,,,,,    57.9,     1.1,    18.9,     1.4,     5.7,     2.5,     4.6,    19.7,    69.3
Leeftijd: 20 tot 30 jaar,Waarde,2020,    25.7,    13.3,    61.0,    14.0,    54.7,     2.5,     9.7,    22.4,     7.4,     8.6,    40.8,     5.3,     3.3,    61.8,     1.1,    21.0,     3.7,    10.4,     4.3,     5.0,    27.7,    74.6
Leeftijd: 30 tot 40 jaar,Waarde,2020,    25.6,    24.2,    50.3,    17.1,    66.8,     4.1,    15.9,    23.5,    10.2,    18.3,    39.3,    10.6,     8.0,    76.2,     1.0,    11.5,     2.8,     4.6,     3.7,     2.5,    15.6,    77.9
Leeftijd: 40 tot 50 jaar,Waarde,2020,    23.2,    28.1,    48.7,    18.9,    81.5,     4.3,    18.4,    21.5,    10.8,    25.7,    34.1,    15.2,    12.4,    79.1,     1.0,     5.5,     0.8,     2.0,     1.5,     1.1,     7.3,    80.0
Leeftijd: 50 tot 55 jaar,Waarde,2020,    21.6,    34.1,    44.3,    17.4,    80.6,     5.0,    23.2,    19.5,,,,    18.0,    17.2,    81.7,     0.9,     3.7,     0.2,     0.6,     0.0,     0.8,     4.5,    80.7
Leeftijd: 55 tot 65 jaar,Waarde,2020,    19.1,    43.5,    37.4,    16.8,    87.8,     3.9,    20.3,    17.2,    12.0,    42.2,    38.2,    22.1,    20.9,    82.5,     1.3,     3.0,     0.2,     0.8,     0.1,     0.4,     3.8,    80.4
Leeftijd: 65 tot 75 jaar,Waarde,2020,    14.9,    54.4,    30.8,    13.0,    87.3,     2.4,    15.8,    13.0,    11.2,    52.1,    36.9,    24.9,    27.5,    87.6,     1.4,     1.1,     0.3,     0.0,     0.1,     0.1,     1.7,    78.5
Leeftijd: 75 jaar of ouder,Waarde,2020,     5.6,    52.8,    41.6,     4.6,,     0.2,,     4.7,,,,    27.1,    34.7,    92.2,     1.1,     0.4,     0.5,     0.0,     0.0,     0.2,     1.1,    74.1
Leeftijd: 0 tot 12 jaar,Waarde,2020,,,,,,,,,,,,,,    93.0,,,,,,,,
Leeftijd: 12 tot 18 jaar,Waarde,2020,     4.2,     0.7,    95.1,     2.1,,     0.2,,     3.7,,,,,,    72.4,     0.8,     7.1,     0.6,     1.2,     0.7,     0.9,     7.2,
Leeftijd: 18 jaar of ouder,Waarde,2020,    20.2,    33.7,    46.1,    14.9,    73.7,     3.2,    16.0,    18.2,    10.2,    26.8,    36.8,    19.6,    20.1,    79.1,     1.1,     7.8,     1.3,     3.1,     1.6,     1.7,    10.2,    77.8
Herkomst: geboren in Nederland,Waarde,2020,    18.5,    32.2,    49.3,    13.4,    72.7,     3.0,    16.2,    16.5,    10.3,    26.4,    35.8,    19.6,    20.6,    81.0,     1.1,     7.4,     1.3,     3.1,     1.7,     1.6,     9.8,    78.5
"Herkomst: geb. in NL, ouders in NL",Waarde,2020,    18.2,    33.0,    48.7,    13.3,    73.0,     3.0,    16.7,    16.3,    10.4,    27.0,    35.8,    19.8,    20.9,    81.8,     1.2,     6.8,     1.2,     2.9,     1.6,     1.5,     9.1,    78.8
"Herkomst: geb. in NL, ouder(s) buiten NL",Waarde,2020,    20.2,    26.2,    53.5,    14.3,    70.7,     2.6,    12.9,    18.2,     9.0,    22.4,    35.8,    17.8,    18.1,    76.3,     1.0,    12.2,     2.1,     4.8,     2.1,     2.6,    14.8,    75.7
"Herkomst: geb. in NL, ouder(s) in Europa",Waarde,2020,    21.1,    36.7,    42.2,    13.8,,     3.0,,    18.9,,,,,,    79.9,     1.1,     9.7,     2.0,     3.0,     2.3,     1.6,    13.2,    76.8
"Herkomst: geb. NL, ouder(s) buit. Europa",Waarde,2020,    19.8,    20.5,    59.7,    14.6,,     2.4,,    17.9,,,,,,    74.6,     0.9,    13.6,     2.2,     5.7,     1.9,     3.1,    15.7,    75.0
Herkomst: geboren buiten Nederland,Waarde,2020,    21.7,    24.0,    54.4,    16.5,    76.4,     3.0,    13.8,    20.0,     9.2,    26.1,    42.1,    18.9,    15.7,    77.7,     0.8,     9.7,     1.1,     2.2,     0.8,     1.9,    11.2,    74.0
Herkomst: geboren in Europa (excl. NL),Waarde,2020,    23.3,    32.8,    43.9,    17.7,,     2.0,,    22.9,,,,,,    81.7,     1.0,    13.4,     0.9,     3.0,     1.1,     2.8,    16.2,    73.8
Herkomst: geboren buiten Europa,Waarde,2020,    20.9,    20.1,    59.0,    16.0,,     3.4,,    18.8,,,,    17.5,    16.9,    76.0,     0.8,     8.0,     1.1,     1.8,     0.6,     1.5,     9.0,    74.1
Positie: alleenstaande <40 jaar,Waarde,2020,    30.8,    15.7,    53.5,    16.9,    54.9,     2.8,     9.3,    27.0,,,,,,    65.0,     1.2,    26.8,     6.5,    12.8,     6.7,     8.3,    35.0,    76.3
Positie: alleenstaande 40 tot 65 jaar,Waarde,2020,    35.1,    31.9,    32.9,    30.6,    87.2,     7.4,    21.0,    32.1,    12.5,    33.3,    30.7,    20.6,    15.9,    77.7,     1.3,     8.8,     1.2,     1.4,     1.4,     1.0,    11.1,    80.6
Positie: alleenstaande >=65 jaar,Waarde,2020,    15.1,    46.6,    38.4,    13.2,,     3.3,,    14.1,,,,    26.5,    30.3,    91.0,     1.4,     1.2,     0.5,     0.0,     0.2,     0.0,     1.9,    73.7
"Positie: kind <18 jaar, eenoudergezin",Waarde,2020,,,,,,,,,,,,,,    76.9,,,,,,,,
