date,COVID-19 admissions (suspected and confirmed),Non-COVID-19 admissions,All submisions
2020-04-01 ,207,505,712
2020-04-02 ,139,529,668
2020-04-03 ,110,573,683
2020-04-04 ,134,482,616
2020-04-05 ,134,318,452
2020-04-06 ,123,401,524
2020-04-07 ,196,574,770
2020-04-08 ,158,584,742
2020-04-09 ,126,573,699
2020-04-10 ,129,474,603
2020-04-11 ,106,400,506
2020-04-12 ,168,329,497
2020-04-13 ,130,311,441
2020-04-14 ,106,403,509
2020-04-15 ,151,540,691
2020-04-16 ,104,594,698
2020-04-17 ,151,636,787
2020-04-18 ,129,576,705
2020-04-19 ,102,328,430
2020-04-20 (1),114,380,494
2020-04-21 ,117,658,775
2020-04-22 ,127,643,770
2020-04-23 (2),137,642,779
2020-04-24 ,147,666,813
2020-04-25 ,126,543,669
2020-04-26 ,99,405,504
2020-04-27 ,95,441,536
2020-04-28 ,148,684,832
2020-04-29 ,136,732,868
2020-04-30 ,148,717,865
2020-05-01 ,122,680,802
2020-05-02 ,147,610,757
2020-05-03 ,100,407,507
2020-05-04 ,125,459,584
2020-05-05 ,140,808,948
2020-05-06 ,116,758,874
2020-05-07 ,131,803,934
2020-05-08 ,144,732,876
2020-05-09 ,112,508,620
2020-05-10 ,118,468,586
2020-05-11 ,120,550,670
2020-05-12 ,98,815,913
2020-05-13 ,122,751,873
2020-05-14 ,112,816,928
2020-05-15 ,101,756,857
2020-05-16 ,125,809,934
2020-05-17 ,99,529,628
2020-05-18 ,84,529,613
2020-05-19 ,114,871,985
2020-05-20 ,108,838,946
2020-05-21 ,118,864,982
2020-05-22 ,92,811,903
2020-05-23 ,123,824,947
2020-05-24 ,81,499,580
2020-05-25 ,90,475,565
2020-05-26 (3),99,517,616
2020-05-27 ,117,824,941
2020-05-28 ,130,835,965
2020-05-29 ,112,803,915
2020-05-30 ,103,771,874
2020-05-31 ,75,521,596
2020-06-01 (4),77,576,653
2020-06-02 ,112,918,1030
2020-06-03 ,144,919,1063
2020-06-04 (5),107,907,1014
2020-06-05 ,88,854,942
2020-06-06 ,101,790,891
2020-06-07 (6),81,505,586
2020-06-08 ,61,536,597
2020-06-09 ,91,998,1089
2020-06-10 ,103,926,1029
2020-06-11 ,114,947,1061
2020-06-12 ,98,913,1011
2020-06-13 ,127,805,932
2020-06-14 ,58,519,577
2020-06-15 ,68,489,557
2020-06-16 ,96,985,1081
2020-06-17 ,108,960,1068
2020-06-18 ,101,996,1097
2020-06-19 ,85,999,1084
2020-06-20 ,72,940,1012
2020-06-21 ,68,537,605
2020-06-22 ,71,542,613
2020-06-23 ,83,1104,1187
2020-06-24 ,105,1000,1105
2020-06-25 ,67,1080,1147
2020-06-26 ,96,937,1033
2020-06-27 ,81,970,1051
2020-06-28 ,50,552,602
2020-06-29 (7),49,530,579
2020-06-30 ,105,1022,1127
2020-07-01 ,67,976,1043
2020-07-02 ,64,1047,1111
2020-07-03 ,66,977,1043
2020-07-04 ,80,833,913
2020-07-05 ,63,470,533
2020-07-06 ,50,515,565
2020-07-07 ,64,1044,1108
2020-07-08 ,63,996,1059
2020-07-09 ,75,1004,1079
2020-07-10 (8),68,997,1065
2020-07-11 ,76,833,909
2020-07-12 ,41,539,580
2020-07-13 ,50,580,630
2020-07-14 ,63,1051,1114
2020-07-15 ,49,996,1045
2020-07-16 ,48,1101,1149
2020-07-17 ,59,993,1052
2020-07-18 ,54,1009,1063
2020-07-19 ,51,587,638
2020-07-20 ,43,562,605
2020-07-21 ,46,1013,1059
2020-07-22 ,72,1002,1074
2020-07-23 ,88,1091,1179
2020-07-24 ,61,1008,1069
2020-07-25 ,48,1055,1103
2020-07-26 ,45,609,654
2020-07-27 ,43,637,680
2020-07-28 ,49,1046,1095
2020-07-29 ,64,992,1056
2020-07-30 ,53,1088,1141
2020-07-31 ,55,1002,1057
2020-08-01 ,73,950,1023
2020-08-02 ,35,561,596
2020-08-03 ,29,575,604
2020-08-04 ,65,1107,1172
2020-08-05 ,74,1018,1092
2020-08-06 ,45,1085,1130
2020-08-07 ,53,1041,1094
2020-08-08 ,55,996,1051
2020-08-09 ,51,543,594
2020-08-10 ,31,597,628
2020-08-11 ,47,1202,1249
2020-08-12 ,45,1076,1121
2020-08-13 ,63,1147,1210
2020-08-14 ,39,1042,1081
2020-08-15 ,52,1016,1068
2020-08-16 ,37,608,645
2020-08-17 ,38,636,674
2020-08-18 ,63,1130,1193
2020-08-19 ,45,1125,1170
2020-08-20 ,39,1131,1170
2020-08-21 ,54,1176,1230
2020-08-22 ,39,1058,1097
2020-08-23 ,26,573,599
2020-08-24 ,36,620,656
2020-08-25 ,49,1068,1117
2020-08-26 ,69,1106,1175
2020-08-27 ,70,1066,1136
2020-08-28 ,83,1074,1157
2020-08-29 ,52,1061,1113
2020-08-30 ,33,628,661
2020-08-31 ,29,537,566
2020-09-01 ,69,571,640
2020-09-02 ,59,1130,1189
2020-09-03 ,70,1088,1158
2020-09-04 ,69,1086,1155
2020-09-05 ,27,1053,1080
2020-09-06 ,42,574,616
2020-09-07 ,46,552,598
2020-09-08 ,65,1121,1186
2020-09-09 ,56,1084,1140
2020-09-10 ,49,1013,1062
2020-09-11 ,70,1097,1167
2020-09-12 ,55,1067,1122
2020-09-13 ,55,584,639
2020-09-14 ,59,597,656
2020-09-15 ,53,1116,1169
2020-09-16 ,65,1100,1165
2020-09-17 ,42,1167,1209
2020-09-18 ,41,1050,1091
2020-09-19 ,34,1049,1083
2020-09-20 ,28,611,639
2020-09-21 ,59,525,584
2020-09-22 ,43,1015,1058
2020-09-23 ,70,1045,1115
2020-09-24 ,94,1013,1107
2020-09-25 ,67,1051,1118
2020-09-26 ,61,944,1005
2020-09-27 ,56,522,578
2020-09-28 ,71,584,655
2020-09-29 ,90,996,1086
2020-09-30 ,61,1092,1153
2020-10-01 ,79,1063,1142
2020-10-02 ,94,1011,1105
2020-10-03 ,79,953,1032
2020-10-04 ,92,495,587
2020-10-05 ,59,548,607
2020-10-06 ,80,1070,1150
2020-10-07 ,85,1056,1141
2020-10-08 ,76,984,1060
2020-10-09 ,60,997,1057
2020-10-10 ,103,973,1076
2020-10-11 ,79,446,525
2020-10-12 ,86,496,582
2020-10-13 ,98,1019,1117
2020-10-14 ,123,970,1093
2020-10-15 ,102,1009,1111
2020-10-16 ,105,1005,1110
2020-10-17 ,112,867,979
2020-10-18 ,88,501,589
2020-10-19 (9),60,511,571
2020-10-20 ,77,1087,1164
2020-10-21 ,92,1052,1144
2020-10-22 ,107,949,1056
2020-10-23 ,123,935,1058
2020-10-24 ,98,958,1056
2020-10-25 ,78,487,565
2020-10-26 ,76,509,585
2020-10-27 ,114,879,993
2020-10-28 ,83,1038,1121
2020-10-29 ,86,969,1055
2020-10-30 ,97,927,1024
2020-10-31 ,80,885,965
2020-11-01 ,76,518,594
2020-11-02 ,75,465,540
2020-11-03 ,104,1046,1150
2020-11-04 ,129,1004,1133
2020-11-05 ,102,993,1095
2020-11-06 ,84,929,1013
2020-11-07 ,112,858,970
2020-11-08 ,76,442,518
2020-11-09 ,64,443,507
2020-11-10 ,104,909,1013
2020-11-11 ,96,986,1082
2020-11-12 ,100,1014,1114
2020-11-13 (10),74,979,1053
2020-11-14 ,91,823,914
2020-11-15 ,69,431,500
2020-11-16 (11),72,507,579
2020-11-17 ,73,978,1051
2020-11-18 ,80,1020,1100
2020-11-19 ,67,1011,1078
2020-11-20 ,77,1000,1077
2020-11-21 ,87,942,1029
2020-11-22 ,62,495,557
2020-11-23 ,71,412,483
2020-11-24 ,81,992,1073
2020-11-25 ,71,1071,1142
2020-11-26 ,100,1050,1150
2020-11-27 ,88,918,1006
2020-11-28 ,72,950,1022
2020-11-29 ,73,480,553
2020-11-30 ,62,512,574
2020-12-01 ,102,974,1076
2020-12-02 ,85,1006,1091
2020-12-03 ,50,1003,1053
2020-12-04 ,61,1090,1151
2020-12-05 ,84,958,1042
2020-12-06 ,62,516,578
2020-12-07 ,63,482,545
2020-12-08 ,98,999,1097
2020-12-09 ,76,989,1065
2020-12-10 ,105,1037,1142
2020-12-11 ,117,896,1013
2020-12-12 ,102,843,945
2020-12-13 ,64,411,475
2020-12-14 ,67,427,494
2020-12-15 ,89,952,1041
2020-12-16 ,132,979,1111
2020-12-17 ,128,951,1079
2020-12-18 ,120,937,1057
2020-12-19 ,110,834,944
2020-12-20 ,91,456,547
2020-12-21 ,93,406,499
2020-12-22 ,125,921,1046
2020-12-23 ,144,863,1007
2020-12-24 ,153,847,1000
2020-12-25 ,110,647,757
2020-12-26 ,73,365,438
2020-12-27 ,97,394,491
2020-12-28 ,125,401,526
2020-12-29 ,137,481,618
2020-12-30 ,166,943,1109
2020-12-31 ,143,986,1129
2021-01-01 ,163,753,916
2021-01-02 ,85,420,505
2021-01-03 ,86,458,544
2021-01-04 ,86,423,509
2021-01-05 ,150,874,1024
2021-01-06 ,144,922,1066
2021-01-07 ,159,928,1087
2021-01-08 ,142,1000,1142
2021-01-09 ,142,872,1014
2021-01-10 ,96,465,561
2021-01-11 ,84,430,514
2021-01-12 ,147,858,1005
2021-01-13 ,129,986,1115
2021-01-14 ,122,945,1067
2021-01-15 ,124,958,1082
2021-01-16 ,110,846,956
2021-01-17 ,93,486,579
2021-01-18 (12),108,535,643
2021-01-19 ,133,921,1054
2021-01-20 ,111,967,1078
2021-01-21 ,116,950,1066
2021-01-22 ,133,961,1094
2021-01-23 ,136,913,1049
2021-01-24 ,110,536,646
2021-01-25 ,75,536,611
2021-01-26 ,120,984,1104
2021-01-27 ,112,1092,1204
2021-01-28 ,132,989,1121
2021-01-29 ,97,976,1073
2021-01-30 ,104,944,1048
2021-01-31 ,77,558,635
2021-02-01 (13),80,494,574
2021-02-02 ,99,993,1092
2021-02-03 ,109,1057,1166
2021-02-04 ,93,1051,1144
2021-02-05 ,93,1018,1111
2021-02-06 ,90,962,1052
2021-02-07 ,57,493,550
2021-02-08 ,65,522,587
2021-02-09 ,87,1055,1142
2021-02-10 ,88,997,1085
2021-02-11 ,106,1032,1138
2021-02-12 ,76,947,1023
2021-02-13 ,99,962,1061
2021-02-14 ,91,673,764
2021-02-15 ,63,609,672
2021-02-16 ,63,1120,1183
2021-02-17 ,86,1078,1164
2021-02-18 ,78,1062,1140
2021-02-19 ,90,985,1075
2021-02-20 ,83,990,1073
2021-02-21 ,65,560,625
2021-02-22 ,45,690,735
2021-02-23 ,53,1119,1172
2021-02-24 ,70,1069,1139
2021-02-25 ,69,1076,1145
2021-02-26 ,67,1098,1165
2021-02-27 ,55,1052,1107
2021-02-28 ,47,566,613
2021-03-01 ,30,583,613
2021-03-02 ,74,1078,1152
2021-03-03 ,52,1093,1145
2021-03-04 ,50,1098,1148
2021-03-05 ,61,1057,1118
2021-03-06 ,61,1048,1109
2021-03-07 ,40,621,661
2021-03-08 (14),26,634,660
2021-03-09 ,40,1048,1088
2021-03-10 ,30,1190,1220
2021-03-11 ,48,1038,1086
2021-03-12 ,40,1150,1190
2021-03-13 ,36,1185,1221
2021-03-14 ,40,655,695
2021-03-15 ,23,695,718
2021-03-16 ,39,1104,1143
2021-03-17 ,55,1224,1279
2021-03-18 ,59,1168,1227
2021-03-19 ,58,1119,1177
2021-03-20 ,51,1091,1142
2021-03-21 ,43,614,657
2021-03-22 ,30,705,735
2021-03-23 ,37,1191,1228
2021-03-24 ,35,1210,1245
2021-03-25 ,19,1251,1270
2021-03-26 ,18,1118,1136
2021-03-27 ,29,1143,1172
2021-03-28 ,19,597,616
2021-03-29 ,11,706,717
2021-03-30 ,17,1121,1138
2021-03-31 ,17,1275,1292
2021-04-01 ,21,1275,1296
2021-04-02 ,25,1197,1222
2021-04-03 ,22,665,687
2021-04-04 ,21,681,702
2021-04-05 ,17,599,616
2021-04-06 ,17,663,680
2021-04-07 ,18,1243,1261
2021-04-08 ,16,1218,1234
2021-04-09 ,16,1278,1294
2021-04-10 ,13,1189,1202
2021-04-11 ,14,693,707
2021-04-12 (15),17,717,734
2021-04-13 ,11,1309,1320
2021-04-14 ,20,1333,1353
2021-04-15 ,16,1266,1282
2021-04-16 ,21,1223,1244
2021-04-17 ,10,1139,1149
2021-04-18 ,15,643,658
2021-04-19 ,20,698,718
2021-04-20 ,22,1282,1304
2021-04-21 ,23,1234,1257
2021-04-22 ,13,1268,1281
2021-04-23 ,10,1191,1201
2021-04-24 ,15,1236,1251
2021-04-25 ,17,671,688
2021-04-26 ,10,693,703
2021-04-27 ,19,1235,1254
2021-04-28 ,12,1402,1414
2021-04-29 ,9,1324,1333
2021-04-30 ,12,1270,1282
2021-05-01 ,20,1223,1243
2021-05-02 ,21,728,749
2021-05-03 ,13,700,713
2021-05-04 ,14,637,651
2021-05-05 ,12,1329,1341
2021-05-06 ,15,1255,1270
2021-05-07 ,13,1337,1350
2021-05-08 (5),15,1347,1362
2021-05-09 ,11,701,712
2021-05-10 (5),19,694,713
2021-05-11 ,13,1407,1420
2021-05-12 ,13,1425,1438
2021-05-13 ,18,1310,1328
2021-05-14 ,9,1252,1261
2021-05-15 ,14,1273,1287
2021-05-16 ,9,711,720
2021-05-17 ,12,717,729
2021-05-18 ,14,1303,1317
2021-05-19 ,13,1258,1271
2021-05-20 ,15,1419,1434
2021-05-21 ,12,1392,1404
2021-05-22 ,21,1280,1301
2021-05-23 ,22,667,689
2021-05-24 ,18,660,678
2021-05-25 ,24,1278,1302
2021-05-26 ,22,1290,1312
2021-05-27 ,27,1300,1327
2021-05-28 ,18,1341,1359
2021-05-29 ,7,1366,1373
2021-05-30 ,12,655,667
2021-05-31 ,6,702,708
2021-06-01 ,7,568,575
2021-06-02 (16),6,1316,1322
2021-06-03 (16),2,1336,1338
2021-06-04 (16),5,1416,1421
2021-06-05 (16),9,1265,1274
2021-06-06 (16),5,689,694
2021-06-07 (16),12,686,698
2021-06-08 (16),17,1329,1346
2021-06-09 (17),5,1415,1420
2021-06-10 ,6,1354,1360
2021-06-11 ,8,1402,1410
2021-06-12 ,8,1155,1163
2021-06-13 ,10,680,690
2021-06-14 ,3,667,670
2021-06-15 ,8,1426,1434
2021-06-16 ,11,1412,1423
2021-06-17 ,13,1235,1248
2021-06-18 ,8,1385,1393
2021-06-19 ,8,1347,1355
2021-06-20 ,5,697,702
2021-06-21 ,10,625,635
2021-06-22 ,6,1359,1365
2021-06-23 ,5,1419,1424
2021-06-24 ,8,1341,1349
2021-06-25 ,4,1382,1386
2021-06-26 ,8,1183,1191
2021-06-27 ,3,700,703
2021-06-28 ,1,654,655
2021-06-29 ,6,1394,1400
2021-06-30 ,7,1328,1335
2021-07-01 ,8,1367,1375
2021-07-02 ,5,1405,1410
2021-07-03 ,9,1304,1313
2021-07-04 ,3,720,723
2021-07-05 ,6,743,749
2021-07-06 ,7,1402,1409
2021-07-07 ,8,1387,1395
2021-07-08 ,5,1308,1313
2021-07-09 ,17,1331,1348
2021-07-10 ,8,1208,1216
2021-07-11 ,5,765,770
2021-07-12 ,3,669,672
2021-07-13 (18),9,1138,1147
2021-07-14 ,11,1381,1392
2021-07-15 ,8,1277,1285
2021-07-16 ,19,1228,1247
2021-07-17 ,17,1138,1155
2021-07-18 ,9,774,783
2021-07-19 ,14,676,690
2021-07-20 ,27,1170,1197
2021-07-21 ,31,1237,1268
2021-07-22 (19),21,1139,1160
2021-07-23 (20),25,1097,1122
2021-07-24 ,23,1196,1219
2021-07-25 ,14,761,775
2021-07-26 (21),10,710,720
2021-07-27 (22),12,1198,1210
2021-07-28 (23),26,1192,1218
2021-07-29 ,12,1312,1324
2021-07-30 ,10,1221,1231
2021-07-31 ,14,1097,1111
2021-08-01 ,21,684,705
2021-08-02 ,13,722,735
2021-08-03 (24),9,1213,1222
2021-08-04 ,12,1244,1256
2021-08-05 ,7,1110,1117
2021-08-06 ,17,1153,1170
2021-08-07 ,18,1247,1265
2021-08-08 ,15,718,733
2021-08-09 ,12,710,722
2021-08-10 ,12,1280,1292
2021-08-11 (25),14,1187,1201
2021-08-12 ,13,1244,1257
2021-08-13 ,18,1221,1239
2021-08-14 ,13,1183,1196
2021-08-15 ,17,677,694
2021-08-16 ,9,688,697
2021-08-17 ,22,1306,1328
2021-08-18 ,17,1335,1352
2021-08-19 ,21,1230,1251
2021-08-20 ,26,1322,1348
2021-08-21 ,28,1163,1191
2021-08-22 ,12,684,696
2021-08-23 ,19,662,681
2021-08-24 ,28,1236,1264
2021-08-25 ,37,1289,1326
2021-08-26 ,25,1280,1305
2021-08-27 ,37,1234,1271
2021-08-28 ,37,1143,1180
2021-08-29 ,22,727,749
2021-08-30 ,39,672,711
2021-08-31 ,23,545,568
2021-09-01 ,40,1237,1277
2021-09-02 ,39,1261,1300
2021-09-03 ,36,1277,1313
2021-09-04 ,40,1080,1120
2021-09-05 ,38,603,641
2021-09-06 ,40,670,710
2021-09-07 ,44,1220,1264
2021-09-08 ,41,1316,1357
